tname,dname,clients_per_round,num_clients,batch_size,device,client_epochs,num_rounds,Searched Round,Searched Round F1,Final Round F1,Stored Best F1,True Hit Rate (Searche Round),True Hit Rate (Final Round),F1 (My-Threshold) (Evaluated),Precision (My-Threshold) (Evaluated),Recall (My-Threshold) (Evaluated),Accuracy (My-Threshold) (Evaluated),Threshold (My-Threshold) (Evaluated),Avg. Time (My-Threshold) (Evaluated),True Hit Rate (My-Threshold) (Evaluated),False Hit Rate (My-Threshold) (Evaluated),True Miss Rate (My-Threshold) (Evaluated),False Miss Rate (My-Threshold) (Evaluated),F1 (SBERT-Threshold) (Evaluated),Precision (SBERT-Threshold) (Evaluated),Recall (SBERT-Threshold) (Evaluated),Accuracy (SBERT-Threshold) (Evaluated),Threshold (SBERT-Threshold) (Evaluated),Avg. Time (SBERT-Threshold) (Evaluated),True Hit Rate (SBERT-Threshold) (Evaluated),False Hit Rate (SBERT-Threshold) (Evaluated),True Miss Rate (SBERT-Threshold) (Evaluated),False Miss Rate (SBERT-Threshold) (Evaluated),key,F1 (GPTCache),Precision (GPTCache),Recall (GPTCache),Accuracy (GPTCache),Threshold (GPTCache),Avg. Time (GPTCache),True Hit Rate (GPTCache),False Hit Rate (GPTCache),True Miss Rate (GPTCache),False Miss Rate (GPTCache)
all-mpnet-base-v2,dgptcache,4,20,128,cuda,6,100,91,0.8934288121314238,0.8921135646687698,0.8934288121314238,0.7168141592920354,0.7141592920353982,0.8847619047619049,0.8445454545454546,0.929,0.879,0.78,0.0007591544389724731,0.775,0.175,0.809,0.066,0.8839200761179828,0.8430127041742287,0.929,0.878,0.7781050205230713,0.0007626725435256959,0.775,0.1765,0.806,0.066,Approved-tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-100-,0.8311015118790497,0.7315589353612167,0.962,0.8045,0.7,0.0007589329481124877,0.81,0.265,0.629,0.031
all-mpnet-base-v2,dgptcache,4,20,128,cuda,8,50,50,0.8905047048759623,0.8905047048759623,-1.0,-1.0,-1.0,0.8858669256920836,0.8611898016997167,0.912,0.8825,0.8,0.0007576239109039306,0.757,0.164,0.831,0.084,0.8877057115198451,0.8602251407129456,0.917,0.884,0.7973353266716003,0.0007603942155838013,0.762,0.166,0.827,0.079,tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-8-num_rounds-50-,0.8311015118790497,0.7315589353612167,0.962,0.8045,0.7,0.0007576233148574829,0.81,0.265,0.629,0.031
all-mpnet-base-v2,dgptcache,4,20,128,cuda,6,50,50,0.8836432003342386,0.8836432003342386,-1.0,-1.0,-1.0,0.8820709491850431,0.8471454880294659,0.92,0.877,0.76,0.0007998842000961304,0.767,0.1725,0.813,0.075,0.8818443804034583,0.8484288354898336,0.918,0.877,0.7620280385017395,0.000760738730430603,0.765,0.1715,0.815,0.077,tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-,0.8311015118790497,0.7315589353612167,0.962,0.8045,0.7,0.0007580327987670899,0.81,0.265,0.629,0.031
all-mpnet-base-v2,dgptcache,4,20,128,cuda,4,50,47,0.8780694326841659,0.8774331550802139,-1.0,-1.0,-1.0,0.8760975609756098,0.8552380952380952,0.898,0.873,0.77,0.0007573679685592651,0.752,0.16,0.832,0.096,0.8759765625,0.8559160305343512,0.897,0.873,0.7711963653564453,0.0007620282173156738,0.752,0.1595,0.833,0.096,tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-4-num_rounds-50-,0.8311015118790497,0.7315589353612167,0.962,0.8045,0.7,0.0008058550357818604,0.81,0.265,0.629,0.031
all-mpnet-base-v2,dgptcache,4,20,128,cuda,6,50,49,0.8741808650065531,0.8741808650065531,-1.0,-1.0,-1.0,0.8784046692607005,0.8551136363636364,0.903,0.875,0.78,0.0007580668926239014,0.749,0.1645,0.831,0.091,0.8802681992337165,0.8446691176470589,0.919,0.875,0.7627071142196655,0.0007606395483016968,0.765,0.1745,0.811,0.075,Jan11-tname-all-mpnet-base-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-,0.8311015118790497,0.7315589353612167,0.962,0.8045,0.7,0.0007582991123199462,0.81,0.265,0.629,0.031
paraphrase-albert-small-v2,dgptcache,10,20,64,cuda,3,150,87,0.8731514267860863,0.8700166112956811,-1.0,-1.0,-1.0,0.8616262482168331,0.8213961922030825,0.906,0.8545,0.78,0.0005131133794784546,0.757,0.1865,0.782,0.088,0.8612303290414879,0.8231540565177757,0.903,0.8545,0.781480610370636,0.0005156657695770263,0.754,0.1845,0.786,0.091,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-20-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.000513801097869873,0.813,0.2445,0.653,0.045
paraphrase-albert-small-v2,dgptcache,4,20,256,cuda,8,50,47,0.8666107382550335,0.8664426711465771,-1.0,-1.0,-1.0,0.8597768073750607,0.8350612629594723,0.886,0.8555,0.71,0.0005131347179412842,0.74,0.175,0.802,0.108,0.8623676612127045,0.8311688311688312,0.896,0.857,0.7023127675056458,0.000560917615890503,0.747,0.179,0.795,0.1,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-8-num_rounds-50-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.0005136706829071045,0.813,0.2445,0.653,0.045
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,100,82,0.8633423742958481,0.8556149732620321,0.8633423742958481,0.7221238938053097,0.7477876106194691,0.861437294504462,0.812223206377325,0.917,0.8525,0.75,0.00030278921127319336,0.763,0.196,0.769,0.076,0.861437294504462,0.812223206377325,0.917,0.8525,0.749932587146759,0.0003053264617919922,0.763,0.196,0.769,0.076,Approved-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.0003019626140594482,0.803,0.273,0.609,0.042
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,8,50,48,0.8632943143812708,0.8626878130217028,-1.0,-1.0,-1.0,0.8592870544090057,0.8091872791519434,0.916,0.85,0.75,0.00030249559879302976,0.765,0.197,0.765,0.076,0.8601036269430051,0.8130008904719501,0.913,0.8515,0.753821074962616,0.0003063647747039795,0.762,0.194,0.771,0.079,tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-8-num_rounds-50-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.0003527270555496216,0.803,0.273,0.609,0.042
paraphrase-albert-small-v2,dgptcache,4,20,256,cuda,6,100,79,0.8627697464906767,0.862662746745065,0.8627697464906767,0.713716814159292,0.7079646017699115,0.8628954937679769,0.8287292817679558,0.9,0.857,0.7,0.0005128780603408813,0.754,0.1805,0.789,0.096,0.8641148325358853,0.828440366972477,0.903,0.858,0.6971404552459717,0.0005144881010055542,0.756,0.181,0.788,0.094,Approved-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.0005144776105880738,0.813,0.2445,0.653,0.045
paraphrase-albert-small-v2,dgptcache,4,20,256,cuda,4,50,49,0.8626486264862648,0.8626486264862648,-1.0,-1.0,-1.0,0.8490846115784266,0.8403525954946132,0.858,0.8475,0.74,0.0005133477449417114,0.728,0.159,0.825,0.129,0.8533724340175953,0.8346080305927343,0.873,0.85,0.7309359908103943,0.0005149025917053222,0.739,0.1645,0.815,0.117,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-4-num_rounds-50-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.0005142412185668945,0.813,0.2445,0.653,0.045
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,100,84,0.86155800169348,0.8531385708645874,-1.0,-1.0,-1.0,0.8603988603988604,0.8191681735985533,0.906,0.853,0.76,0.0003025267124176025,0.756,0.1895,0.779,0.086,0.861904761904762,0.8227272727272728,0.905,0.855,0.7632092833518982,0.0003053921461105347,0.755,0.1865,0.785,0.087,FixJan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.0003021169900894165,0.803,0.273,0.609,0.042
paraphrase-albert-small-v2,dgptcache,4,20,256,cuda,6,50,47,0.8606798153587915,0.8600125549278091,-1.0,-1.0,-1.0,0.8608570052961001,0.83008356545961,0.894,0.8555,0.7,0.0005132987499237061,0.751,0.176,0.799,0.098,0.8623326959847036,0.826007326007326,0.902,0.856,0.6944330334663391,0.0005138478279113769,0.755,0.18,0.792,0.093,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-50-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.000513039231300354,0.813,0.2445,0.653,0.045
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,50,49,0.8587737843551797,0.8579856721449642,-1.0,-1.0,-1.0,0.8530499075785583,0.7929553264604811,0.923,0.841,0.74,0.00030292689800262454,0.775,0.2085,0.739,0.069,0.8537398761314912,0.8152866242038217,0.896,0.8465,0.7638862133026123,0.00030530691146850585,0.753,0.1875,0.779,0.093,tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-50-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.000301031231880188,0.803,0.273,0.609,0.042
paraphrase-albert-small-v2,dgptcache,4,20,256,cuda,6,50,49,0.8576694654925251,0.8576694654925251,-1.0,-1.0,-1.0,0.8604427333974976,0.8293135435992579,0.894,0.855,0.7,0.0005134693384170532,0.752,0.175,0.798,0.1,0.8604538870111057,0.8319327731092437,0.891,0.8555,0.7038888931274414,0.0005149422883987427,0.75,0.173,0.802,0.102,Jan11-tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-50-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.0005138534307479859,0.813,0.2445,0.653,0.045
paraphrase-albert-small-v2,dgptcache,10,20,64,cuda,3,10,10,0.8562715999186826,0.8562715999186826,-1.0,-1.0,-1.0,0.8568764568764569,0.8026200873362446,0.919,0.8465,0.74,0.000513170599937439,0.786,0.187,0.765,0.075,0.8520653218059558,0.8197781885397413,0.887,0.846,0.7674243450164795,0.0005152976512908936,0.759,0.1715,0.795,0.103,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-20-batch_size-64-device-cuda-client_epochs-3-num_rounds-10-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.0005145061016082763,0.813,0.2445,0.653,0.045
all-MiniLM-L6-v2,dgptcache,8,20,256,cuda,6,100,72,0.8560900716479017,0.8495887191539365,-1.0,-1.0,-1.0,0.8602352941176471,0.8124444444444444,0.914,0.8515,0.75,0.00030219316482543946,0.763,0.195,0.769,0.078,0.8611898016997167,0.815742397137746,0.912,0.853,0.7544763684272766,0.00030579400062561037,0.762,0.192,0.774,0.08,FixJan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-8-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.0003021184206008911,0.803,0.273,0.609,0.042
paraphrase-albert-small-v2,dgptcache,10,50,64,cuda,3,150,137,0.8552960800667223,0.8507842306061891,-1.0,-1.0,-1.0,0.8631178707224334,0.822463768115942,0.908,0.856,0.78,0.0005353611707687378,0.769,0.1785,0.79,0.084,0.8628381585192216,0.8211382113821138,0.909,0.8555,0.7787221670150757,0.0005151274204254151,0.77,0.1795,0.788,0.083,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-50-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.000514319658279419,0.813,0.2445,0.653,0.045
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,100,99,0.8516640952171038,0.8516640952171038,-1.0,-1.0,-1.0,0.8608076009501188,0.8199095022624434,0.906,0.8535,0.76,0.00030223703384399414,0.757,0.188,0.781,0.086,0.8608076009501188,0.8199095022624434,0.906,0.8535,0.7604877948760986,0.00030510497093200683,0.757,0.188,0.781,0.086,Jan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.00030126011371612546,0.803,0.273,0.609,0.042
paraphrase-albert-small-v2,dgptcache,5,20,16,cuda,3,1,1,0.8515451423954756,0.8515451423954756,-1.0,-1.0,-1.0,0.8496309963099631,0.788527397260274,0.921,0.837,0.73,0.0005131905078887939,0.789,0.2,0.741,0.07,0.8502994011976047,0.7882152006831767,0.923,0.8375,0.7281088829040527,0.0005149308443069458,0.791,0.201,0.74,0.067,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-5-num_clients-20-batch_size-16-device-cuda-client_epochs-3-num_rounds-1-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.000513490080833435,0.813,0.2445,0.653,0.045
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,50,49,0.8504534908247205,0.8504534908247205,-1.0,-1.0,-1.0,0.8523328523328523,0.8211306765523633,0.886,0.8465,0.77,0.00035405826568603516,0.749,0.18,0.791,0.1,0.8521094112192862,0.7942955920484011,0.919,0.8405,0.7425059676170349,0.0003044688701629639,0.775,0.2045,0.744,0.072,Jan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-50-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.0003006190061569214,0.803,0.273,0.609,0.042
paraphrase-albert-small-v2,dgptcache,10,100,64,cuda,3,150,146,0.849667941235661,0.846853977047883,-1.0,-1.0,-1.0,0.8511848341232228,0.809009009009009,0.898,0.843,0.8,0.0005133942365646362,0.768,0.1795,0.78,0.093,0.8510436432637571,0.8095667870036101,0.897,0.843,0.8007649183273315,0.0005156596899032593,0.767,0.179,0.781,0.094,tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-10-num_clients-100-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-,0.830337571240684,0.7392661982825918,0.947,0.8065,0.7,0.0005144178867340088,0.813,0.2445,0.653,0.045
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,4,50,50,0.848006476421777,0.848006476421777,-1.0,-1.0,-1.0,0.8463636363636364,0.7758333333333334,0.931,0.831,0.73,0.00030406832695007325,0.786,0.2195,0.716,0.059,0.8430851063829787,0.7571656050955414,0.951,0.823,0.7089254260063171,0.0003614441156387329,0.8,0.2385,0.68,0.043,tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-4-num_rounds-50-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.00030334794521331786,0.803,0.273,0.609,0.042
all-MiniLM-L6-v2,dgptcache,4,50,256,cuda,6,100,93,0.8410276221750047,0.8402220851326342,-1.0,-1.0,-1.0,0.8424350940017904,0.7625607779578606,0.941,0.824,0.72,0.0003010298013687134,0.794,0.231,0.693,0.051,0.8428123600537394,0.7631792376317924,0.941,0.8245,0.720120370388031,0.0003045574426651001,0.794,0.2305,0.694,0.051,FixJan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-50-batch_size-256-device-cuda-client_epochs-6-num_rounds-100-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.00030039107799530027,0.803,0.273,0.609,0.042
paraphrase-MiniLM-L3-v2,dgptcache,10,20,64,cuda,3,150,150,0.8398215733982157,0.8398215733982157,-1.0,-1.0,-1.0,0.8320463320463319,0.8041044776119403,0.862,0.826,0.81,0.00027253615856170655,0.716,0.1865,0.783,0.128,0.8384976525821597,0.7902654867256638,0.893,0.828,0.7966744899749756,0.0003282771110534668,0.742,0.2035,0.751,0.1,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-10-num_clients-20-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-,0.8012259194395798,0.7126168224299065,0.915,0.773,0.7,0.00027313828468322754,0.782,0.268,0.619,0.063
paraphrase-MiniLM-L3-v2,dgptcache,4,20,512,cuda,6,100,92,0.8323487471990223,0.8318403908794788,0.8323487471990223,0.7004424778761061,0.7008849557522124,0.8262081784386617,0.7717013888888888,0.889,0.813,0.77,0.00027237796783447264,0.754,0.2095,0.73,0.097,0.826431718061674,0.7385826771653543,0.938,0.803,0.7259423732757568,0.00027486193180084227,0.795,0.2535,0.645,0.053,Approved-tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-100-,0.8012259194395798,0.7126168224299065,0.915,0.773,0.7,0.00027110064029693605,0.782,0.268,0.619,0.063
paraphrase-MiniLM-L3-v2,dgptcache,4,20,512,cuda,8,50,48,0.8305727399720615,0.8305727399720615,-1.0,-1.0,-1.0,0.8236914600550965,0.7614601018675722,0.897,0.808,0.76,0.00027121758460998534,0.76,0.22,0.71,0.09,0.8258478460128323,0.7622673434856176,0.901,0.81,0.7591967582702637,0.00027389657497406004,0.764,0.22,0.71,0.086,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-8-num_rounds-50-,0.8012259194395798,0.7126168224299065,0.915,0.773,0.7,0.0002702819108963013,0.782,0.268,0.619,0.063
paraphrase-MiniLM-L3-v2,dgptcache,10,50,64,cuda,3,150,148,0.8250497017892644,0.8243485180027849,-1.0,-1.0,-1.0,0.8253234750462107,0.7671821305841925,0.893,0.811,0.8,0.0002711074352264404,0.757,0.2155,0.718,0.094,0.8246402877697842,0.7491830065359477,0.917,0.805,0.7837446928024292,0.0002738915681838989,0.777,0.237,0.677,0.072,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-10-num_clients-50-batch_size-64-device-cuda-client_epochs-3-num_rounds-150-,0.8012259194395798,0.7126168224299065,0.915,0.773,0.7,0.0002720893621444702,0.782,0.268,0.619,0.063
paraphrase-MiniLM-L3-v2,dgptcache,4,20,512,cuda,6,50,49,0.8236691074609143,0.8236691074609143,-1.0,-1.0,-1.0,0.8157653528872595,0.7529610829103215,0.89,0.799,0.76,0.0002706336975097656,0.755,0.226,0.699,0.094,0.8203330411919368,0.7301092043681747,0.936,0.795,0.7265942096710205,0.0002735757827758789,0.793,0.2575,0.637,0.055,Jan11-tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-50-,0.8012259194395798,0.7126168224299065,0.915,0.773,0.7,0.0002699640989303589,0.782,0.268,0.619,0.063
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,3,3,0.820633983067533,0.820633983067533,0.820633983067533,-1.0,-1.0,0.8243243243243243,0.75,0.915,0.805,0.73,0.00030202078819274904,0.786,0.235,0.681,0.063,0.8237965485921889,0.7545757071547421,0.907,0.806,0.7371261715888977,0.0003054152727127075,0.779,0.228,0.694,0.071,F1Jan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-3-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.00030187034606933593,0.803,0.273,0.609,0.042
paraphrase-MiniLM-L3-v2,dgptcache,4,20,512,cuda,6,50,50,0.8171701112877583,0.8171701112877583,-1.0,-1.0,-1.0,0.8163078332569859,0.7531699070160609,0.891,0.7995,0.76,0.0002724757194519043,0.756,0.226,0.699,0.093,0.8142658638258454,0.7584124245038827,0.879,0.7995,0.7657853960990906,0.0002766190767288208,0.745,0.219,0.711,0.106,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-6-num_rounds-50-,0.8012259194395798,0.7126168224299065,0.915,0.773,0.7,0.00027300071716308594,0.782,0.268,0.619,0.063
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,2,3,3,0.8163676678089096,0.8163676678089096,0.8163676678089096,0.7212389380530974,0.7212389380530974,0.8171945701357465,0.7462809917355372,0.903,0.798,0.73,0.00030466198921203614,0.782,0.2365,0.677,0.068,0.8138801261829652,0.7407711238720263,0.903,0.7935,0.7275772094726562,0.0003065298795700073,0.782,0.241,0.669,0.067,F1Jan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-2-num_rounds-3-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.00030341076850891113,0.803,0.273,0.609,0.042
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,2,1,0.8151227236737926,0.8111178738080747,-1.0,-1.0,-1.0,0.8233199821984869,0.7417802726543705,0.925,0.8015,0.72,0.00030144083499908446,0.792,0.247,0.66,0.054,0.819538670284939,0.7481420313790256,0.906,0.8005,0.7332788109779358,0.00030499660968780516,0.78,0.2355,0.679,0.07,Jan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-2-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.0003540524244308472,0.803,0.273,0.609,0.042
paraphrase-MiniLM-L3-v2,dgptcache,4,20,512,cuda,4,50,50,0.8130609127362994,0.8130609127362994,-1.0,-1.0,-1.0,0.8116189662537376,0.7084265473527218,0.95,0.7795,0.7,0.0002721099853515625,0.802,0.2835,0.591,0.04,0.8126603934987168,0.7100149476831091,0.95,0.781,0.7004327774047852,0.0002737753391265869,0.802,0.282,0.594,0.04,tname-paraphrase-MiniLM-L3-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-512-device-cuda-client_epochs-4-num_rounds-50-,0.8012259194395798,0.7126168224299065,0.915,0.773,0.7,0.0002705308198928833,0.782,0.268,0.619,0.063
all-MiniLM-L6-v2,dgptcache,4,20,256,cuda,6,3,2,0.8070880526123492,0.8070880526123492,-1.0,-1.0,-1.0,0.8237945020279405,0.7497949138638228,0.914,0.8045,0.73,0.0003045274019241333,0.786,0.235,0.68,0.064,0.8216068996822515,0.7522859517871987,0.905,0.8035,0.7356109619140625,0.00030662477016448977,0.781,0.23,0.69,0.069,Jan11-tname-all-MiniLM-L6-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-256-device-cuda-client_epochs-6-num_rounds-3-,0.8119325551232165,0.7151561309977151,0.939,0.7825,0.7,0.0003028308153152466,0.803,0.273,0.609,0.042
